ano,id_region,comuna,nombre_electo,partido,votacion_candidato,total,porcentaje
2008,10,PURRANQUE,NEGRON SCHWERTER CESAR,PS,4441,10719,41.43
2008,10,PUYEHUE,NUÑEZ MORALES MARIA JIMENA,UDI,2791,6423,43.45
2008,10,QUEILEN,GOMEZ MIRANDA CARLOS,DC,2247,2627,85.53
2008,10,QUELLON,HARO URIBE OSVALDO IVAN,RN,4543,8034,56.55
2008,10,QUEMCHI,MACIAS DEMARCHI LUIS,IND,2434,4263,57.10
2008,10,QUINCHAO,TORRES AGUILA SANTIAGO,IND,2089,3831,54.53
2008,10,RIO NEGRO,SCHWALM URZUA CARLOS,RN,3273,7357,44.49
2008,10,SAN JUAN DE LA COSTA,OYARZO RUIZ JAVIER,RN,1924,4270,45.06
2008,10,SAN PABLO,ALVARADO AGUERO OMAR,DC,4331,5956,72.72
2008,11,AISEN,MARTINEZ SANCHEZ MARISOL,PS,4356,9100,47.87
2008,11,CHILE CHICO,MUÑOZ GONZALEZ LUPERCIANO,PPD,1457,2639,55.21
2008,11,CISNES,VALDES GUTIERREZ LUIS,PS,1219,2204,55.31
2008,11,COCHRANE,ULLOA GEORGIA PATRICIO,UDI,926,1467,63.12
2008,11,COYHAIQUE,MUÑOZ SIERRA OMAR,UDI,7493,19864,37.72
2008,11,GUAITECAS,MIRANDA CHIGUAY LUIS ANTONIO,RN,371,846,43.85
2008,11,LAGO VERDE,ALDEA CADAGAN GASPAR,PS,250,666,37.54
2008,11,O'HIGGINS,FICA GOMEZ JOSE CLAUDIO,DC,176,358,49.16
2008,11,RIO IBAÑEZ,ALARCON ESCOBAR EMILIO,UDI,1050,1656,63.41
2008,11,TORTEL,LOPEZ SIERRA BERNARDO ALEJANDRO,PPD,217,330,65.76
2008,12,CABO DE HORNOS,HENRIQUEZ MATUS HUGO PATRICIO,PRSD,308,889,34.65
