ano,id_region,comuna,nombre_electo,partido,votacion_candidato,total,porcentaje
2004,10,OSORNO,SAINT-JEAN ASTUDILLO MAURICIO GASTON,PDC,21462,63366,33.87
2004,10,PAILLACO,FUENTES SEPULVEDA GASTON ALEJANDRO,IND,4140,10049,41.20
2004,10,PALENA,CHAVEZ ALARCON JAIME DONALD,PDC,414,905,45.75
2004,10,PANGUIPULLI,KOEHLER VARGAS ALEJANDRO,PS,7112,13798,51.54
2004,10,PUERTO MONTT,QUINTEROS LARA RABINDRANATH,PS,39748,57518,69.11
2004,10,PUERTO OCTAY,MANCILLA SOLIS CARLOS,PDC,2671,4820,55.41
2004,10,PUERTO VARAS,BAHAMONDE CEA RAMON,UDI,6404,14576,43.94
2004,10,PUQUELDON,BARRIA OJEDA NORA FELICINDA,PRSD,1400,2242,62.44
2004,10,PURRANQUE,NEGRON SCHWERTER CESAR,PS,5276,10718,49.23
2004,10,PUYEHUE,NUÑEZ MORALES MARIA JIMENA,UDI,3740,6215,60.18
2004,10,QUEILEN,GOMEZ MIRANDA CARLOS,PDC,2002,2556,78.33
2004,10,QUELLON,URIBE VELASQUEZ LUIS ALBERTO,PDC,4274,7793,54.84
2004,10,QUEMCHI,MACIAS DEMARCHI LUIS,IND,1420,3892,36.49
2004,10,QUINCHAO,TORRES AGUILA SANTIAGO,IND,2144,3717,57.68
2004,10,RIO BUENO,FLORES VERA WALDO,PDC,7866,15220,51.68
2004,10,RIO NEGRO,ANDRADE CANO ARTURO,IND,3193,7365,43.35
2004,10,SAN JUAN DE LA COSTA,OYARZO RUIZ JAVIER,RN,2332,4235,55.06
2004,10,SAN PABLO,ALVARADO AGUERO OMAR,PDC,4136,5864,70.53
2004,10,VALDIVIA,BERGER FETT BERNARDO,RN,30628,56327,54.38
2004,11,AISEN,CATALAN SANCHEZ OSCAR,UDI,4662,8603,54.19
2004,11,CHILE CHICO,MUÑOZ GONZALEZ LUPERCIANO,IND,1006,2524,39.86
2004,11,CISNES,VALDES GUTIERREZ LUIS,PS,1282,2152,59.57
2004,11,COCHRANE,NUÑEZ MORALES CHRISTIAN,PDC,780,1444,54.02
2004,11,COYHAIQUE,SANDOVAL PLAZA DAVID SERGIO,UDI,10836,20002,54.17
2004,11,GUAITECAS,MIRANDA CHIGUAY LUIS ANTONIO,RN,400,780,51.28
2004,11,LAGO VERDE,ALDEA CADAGAN GASPAR,PS,202,553,36.53
2004,11,O'HIGGINS,FICA GOMEZ JOSE CLAUDIO,PDC,167,240,69.58
2004,11,RIO IBAÑEZ,ALARCON ESCOBAR EMILIO,UDI,957,1536,62.30
2004,11,TORTEL,LOPEZ SIERRA BERNARDO ALEJANDRO,PPD,156,284,54.93
2004,12,CABO DE HORNOS,SOTO PASSEK JOSE LUIS,PRSD,497,847,58.68
2004,12,LAGUNA BLANCA,RITTER RODRIGUEZ ELEAZAR AUGUSTO RICARDO,UDI,349,349,100.00
2004,12,NATALES,MARGONI GADLER MARIO,IND,5814,8843,65.75
2004,12,PORVENIR,VERA PEREZ SYLVIA,PS,1150,2145,53.61
2004,12,PRIMAVERA,OLEA CELSI LUIS RICARDO,UDI,551,551,100.00
2004,12,PUNTA ARENAS,MORANO CORNEJO JUAN ENRIQUE,PDC,18822,47010,40.04
2004,12,RIO VERDE,VASQUEZ BARRIENTOS SILVIA TATIANA,UDI,305,399,76.44
2004,12,SAN GREGORIO,MANDRIAZA MUÑOZ CARLOS,PDC,355,701,50.64
2004,12,TIMAUKEL,SIMUNOVIC OJEDA ALFONSO DE LOURDES,UDI,198,363,54.55
2004,12,TORRES DEL PAINE,PAREDES MANSILLA JOSE FERNANDO,UDI,704,820,85.85
2004,13,ALHUE,SEPULVEDA SANCHEZ YOONITT,IND,1528,2367,64.55
2004,13,BUIN,BOZAN RAMOS ANGEL,PPD,12768,27174,46.99
2004,13,CALERA DE TANGO,VALENZUELA SANTIBAÑEZ ERASMO,IND,5358,8848,60.56
2004,13,CERRILLOS,ALMENDARES CALDERON ALEJANDRO,RN,18758,33187,56.52
2004,13,CERRO NAVIA,GIRARDI LAVIN CRISTINA,PPD,34869,60320,57.81
2004,13,COLINA,OLAVARRIA RODRIGUEZ MARIO,UDI,14912,26821,55.60
2004,13,CONCHALI,SOTTOLICHIO URQUIZA CARLOS,PPD,36043,66613,54.11
2004,13,CURACAVI,BARROS ECHENIQUE JOSE GUILLERMO,UDI,4951,10911,45.38
2004,13,EL BOSQUE,MELO MOYA SADI LEONARDO,PS,31361,66140,47.42
